"NomeItem";"Hidratacao";"Energia";"Delay";"RecuperacaoStamina";"EspacoOcupado"
"Biscuit";"0";"+70";"5.2";"None";"2x1"
"Braised Ribs Field Ration";"-8";"+40";"8.2";"None";"1x1"
"Canary Condensed Milk";"-55";"+75";"9.7";"None";"1x1"
"Canned Carp";"+5";"+30";"6.5";"None";"1x1"
"Canned Meat";"0";"+25";"9.4";"None";"1x1"
"Canned Salted Herring";"-20";"+65";"8.5";"None";"1x1"
"Canned Stew";"-5";"+45";"6.3";"None";"1x1"
"Comflakes";"-8";"+50";"8.7";"None";"1x2"
"Compressed Hardtack";"0";"+10";"5.2";"None";"1x1"
"Cuts Classic Chips";"-5";"+15";"6.6";"None";"1x2"
"Cuts Cucumber-Flavored Chips";"-2";"+12";"6.6";"None";"1x2"
"Dawing Original Energy Bar";"-5";"+30";"5.3";"Medium";"1x1"
"Dawing Original Sweet Bean Sauce";"-100";"+100";"13.4";"None";"1x1"
"Nightingale Honey";"-15";"+60";"8.3";"None";"1x1"
"Nightingale Tomato Braised Fish";"+20";"+15";"6.3";"None";"1x1"
"Nom Nom Baked Beans";"+10";"+20";"4.8";"None";"1x1"
"Nom Nom Sugar";"-40";"+70";"10.1";"None";"1x1"
"Special Field Ration";"-30";"+70";"8.9";"None";"1x2"
"Ultra-Strength Energy Bar";"-15";"+71";"5.3";"Low";"1x1"
